text,label
우산이 부러져서 새로 사야겠어.,필요
내 지갑이 해져서 바꿔야겠다.,필요
키보드가 먹통이야.,필요
화장솜이 다 떨어졌어.,필요
장우산은 있는데 접이식이 필요해.,필요
내 헤드폰 고장 나서 새로 사야겠다.,필요
전동칫솔 브러시 다 썼네.,필요
장우산은 있는데 접이식이 필요해.,필요
내 보조배터리 수명이 다 된 것 같아.,필요
집에서 쓰는 수건이 다 낡았어.,필요
우산이 부러져서 새로 사야겠어.,필요
내 지갑이 해져서 바꿔야겠다.,필요
키보드가 먹통이야.,필요
화장솜이 다 떨어졌어.,필요
내 헤드폰 고장 나서 새로 사야겠다.,필요
운동화 바닥이 다 닳아서 불편해.,필요
운동화 바닥이 다 닳아서 불편해.,필요
이번주에 무조건 운동화 삼 ㅋㅋ,구매
다음주에패딩지른다..,구매
신상 지갑 살까 싶음~,구매
신상 지갑 살까 싶음 ㄹㅇ,구매
아 아이패드 이번에 삼,구매
향수 새로 사고 싶음 ㄹㅇ;;,구매
이번주에 무조건 운동화 삼;;,구매
다음달 가구 새로 산다;;,구매
아이패드 이번에 삼 ㅋㅋ,구매
책상의자살거임..,구매
아 내일 마트 가서 장바구니 꽉 채울듯,구매
스마트워치 하나 장만할까 생각중~,구매
다음달 가구 새로 산다;;,구매
스마트워치 하나 장만할까 생각중 ㅋㅋ,구매
향수 새로 사고 싶음 ㄹㅇ ㅠㅠ,구매
아이패드 이번에 삼 ㄹㅇ,구매
신상 지갑 살까 싶음;;,구매
내일 마트 가서 장바구니 꽉 채울듯~,구매
이번주에 무조건 운동화 삼~,구매
아 다음달 가구 새로 산다,구매
아 책상 의자 살거임,구매
이번주에무조건운동화삼..,구매
향수새로사고싶음ㄹㅇ..,구매
아 다음주에 패딩 지른다,구매
향수 새로 사고 싶음 ㄹㅇ ㅋㅋ,구매
아 스마트워치 하나 장만할까 생각중,구매
내일 마트 가서 장바구니 꽉 채울듯 ㄹㅇ,구매
내일 마트 가서 장바구니 꽉 채울듯,구매
향수 새로 사고 싶음 ㄹㅇ,구매
다음주에 패딩 지른다,구매
신상 지갑 살까 싶음,구매
아이패드 이번에 삼,구매
스마트워치 하나 장만할까 생각중,구매
이번주에 무조건 운동화 삼,구매
청바지 하나 지름 예정,구매
다음달 가구 새로 산다,구매
아이패드 이번에 삼;;,구매
책상 의자 살거임,구매
책상 의자 살거임 ㅋㅋ,구매
신상 지갑 살까 싶음 ㄹㅇ,구매
청바지 하나 지름 예정 ㅋㅋ,구매
청바지 하나 지름 예정;;,구매
다음주에 패딩 지른다 ㅠㅠ,구매
내일 마트 가서 장바구니 꽉 채울듯 ㅠㅠ,구매
스마트워치 하나 장만할까 생각중 ㅋㅋ,구매
아이패드이번에삼..,구매
다음주에패딩지른다..,구매
청바지 하나 지름 예정;;,구매
신상 지갑 살까 싶음~,구매
아 책상 의자 살거임,구매
아 향수 새로 사고 싶음 ㄹㅇ,구매
아 이번주에 무조건 운동화 삼,구매
향수 새로 사고 싶음 ㄹㅇ~,구매
스마트워치 하나 장만할까 생각중 ㄹㅇ,구매
다음달가구새로산다..,구매
책상 의자 살거임~,구매
아이패드 이번에 삼 ㄹㅇ,구매
다음달 가구 새로 산다;;,구매
아이패드 이번에 삼~,구매
책상 의자 살거임;;,구매
이번주에 무조건 운동화 삼;;,구매
스마트워치 하나 장만할까 생각중 ㄹㅇ,구매
신상지갑살까싶음..,구매
신상 지갑 살까 싶음 ㄹㅇ,구매
청바지 하나 지름 예정 ㅋㅋ,구매
다음달 가구 새로 산다;;,구매
이번주에 무조건 운동화 삼 ㅋㅋ,구매
향수새로사고싶음ㄹㅇ..,구매
향수 새로 사고 싶음 ㄹㅇ ㄹㅇ,구매
책상 의자 살거임 ㅠㅠ,구매
책상 의자 살거임~,구매
스마트워치 하나 장만할까 생각중~,구매
아 아이패드 이번에 삼,구매
아이패드 이번에 삼 ㄹㅇ,구매
아이패드 이번에 삼 ㅋㅋ,구매
책상 의자 살거임 ㅋㅋ,구매
다음주에 패딩 지른다 ㅠㅠ,구매
스마트워치하나장만할까생각중..,구매
신상 지갑 살까 싶음 ㅠㅠ,구매
신상지갑살까싶음..,구매
신상 지갑 살까 싶음;;,구매
청바지 하나 지름 예정;;,구매
아 내일 마트 가서 장바구니 꽉 채울듯,구매
향수새로사고싶음ㄹㅇ..,구매
아 신상 지갑 살까 싶음,구매
스마트워치 하나 장만할까 생각중 ㅋㅋ,구매
청바지 하나 지름 예정;;,구매
신상 지갑 살까 싶음~,구매
책상 의자 살거임 ㄹㅇ,구매
청바지 하나 지름 예정 ㅋㅋ,구매
책상 의자 살거임~,구매
내일 마트 가서 장바구니 꽉 채울듯 ㅠㅠ,구매
책상의자살거임..,구매
신상 지갑 살까 싶음 ㅠㅠ,구매
스마트워치 하나 장만할까 생각중 ㄹㅇ,구매
다음달가구새로산다..,구매
다음달가구새로산다..,구매
가을 코트 이번에 무조건 산다.,구매
신상 지갑 살까 싶음~,구매
가방 하나 사고 싶네.,구매
이번 달엔 무조건 노트북 산다.,구매
이번 주말에 셔츠 하나 살 거야.,구매
가을 코트 이번에 무조건 산다.,구매
백화점 가서 신발 사야지.,구매
화장대 이번에 들여야겠다.,구매
새 휴대폰 사고 싶어.,구매
향수 이번에 꼭 사야겠다.,구매
스니커즈 지를 거야.,구매
오늘 쇼핑몰에서 옷 주문하려고.,구매
오늘 쇼핑몰에서 옷 주문하려고.,구매
가방 하나 사고 싶네.,구매
이번 주말에 셔츠 하나 살 거야.,구매
가을 코트 이번에 무조건 산다.,구매
백화점 가서 신발 사야지.,구매
화장대 이번에 들여야겠다.,구매
새 휴대폰 사고 싶어.,구매
향수 이번에 꼭 사야겠다.,구매
스니커즈 지를 거야.,구매
오늘 쇼핑몰에서 옷 주문하려고.,구매
가방 하나 사고 싶네.,구매
이번 달엔 무조건 노트북 산다.,구매
이번 달엔 무조건 노트북 산다.,구매
이번 주말에 셔츠 하나 살 거야.,구매
스니커즈 지를 거야.,구매
새 휴대폰 사고 싶어.,구매
백화점 가서 신발 사야지.,구매
화장대 이번에 들여야겠다.,구매
새 휴대폰 사고 싶어.,구매
향수 이번에 꼭 사야겠다.,구매
스니커즈 지를 거야.,구매
오늘 쇼핑몰에서 옷 주문하려고.,구매
가방 하나 사고 싶네.,구매
이번 달엔 무조건 노트북 산다.,구매
이번 주말에 셔츠 하나 살 거야.,구매
가을 코트 이번에 무조건 산다.,구매
향수 이번에 꼭 사야겠다.,구매
백화점 가서 신발 사야지.,구매
새 휴대폰 사고 싶어.,구매
향수 이번에 꼭 사야겠다.,구매
스니커즈 지를 거야.,구매
오늘 쇼핑몰에서 옷 주문하려고.,구매
가방 하나 사고 싶네.,구매
이번 달엔 무조건 노트북 산다.,구매
이번 주말에 셔츠 하나 살 거야.,구매
가을 코트 이번에 무조건 산다.,구매
백화점 가서 신발 사야지.,구매
화장대 이번에 들여야겠다.,구매
화장대 이번에 들여야겠다.,구매
가을 코트 이번에 무조건 산다.,구매
백화점 가서 신발 사야지.,구매
화장대 이번에 들여야겠다.,구매
이번 주말에 셔츠 하나 살 거야.,구매
가을 코트 이번에 무조건 산다.,구매
백화점 가서 신발 사야지.,구매
화장대 이번에 들여야겠다.,구매
새 휴대폰 사고 싶어.,구매
향수 이번에 꼭 사야겠다.,구매
스니커즈 지를 거야.,구매
오늘 쇼핑몰에서 옷 주문하려고.,구매
가방 하나 사고 싶네.,구매
이번 달엔 무조건 노트북 산다.,구매
이번 달엔 무조건 노트북 산다.,구매
이번 주말에 셔츠 하나 살 거야.,구매
백화점 가서 신발 사야지.,구매
화장대 이번에 들여야겠다.,구매
새 휴대폰 사고 싶어.,구매
향수 이번에 꼭 사야겠다.,구매
스니커즈 지를 거야.,구매
오늘 쇼핑몰에서 옷 주문하려고.,구매
가방 하나 사고 싶네.,구매
이번 달엔 무조건 노트북 산다.,구매
이번 주말에 셔츠 하나 살 거야.,구매
다음달 가구 새로 산다 ㅠㅠ,구매
가을 코트 이번에 무조건 산다.,구매
아이패드 이번에 삼 ㅋㅋ,구매
가방 하나 사고 싶네.,구매
스니커즈 지를 거야.,구매
새 휴대폰 사고 싶어.,구매
향수 이번에 꼭 사야겠다.,구매
스니커즈 지를 거야.,구매
오늘 쇼핑몰에서 옷 주문하려고.,구매
가방 하나 사고 싶네.,구매
이번 달엔 무조건 노트북 산다.,구매
이번 주말에 셔츠 하나 살 거야.,구매
가을 코트 이번에 무조건 산다.,구매
백화점 가서 신발 사야지.,구매
화장대 이번에 들여야겠다.,구매
오늘 쇼핑몰에서 옷 주문하려고.,구매
새 휴대폰 사고 싶어.,구매
스니커즈 지를 거야.,구매
오늘 쇼핑몰에서 옷 주문하려고.,구매
가방 하나 사고 싶네.,구매
이번 달엔 무조건 노트북 산다.,구매
이번 주말에 셔츠 하나 살 거야.,구매
가을 코트 이번에 무조건 산다.,구매
백화점 가서 신발 사야지.,구매
화장대 이번에 들여야겠다.,구매
새 휴대폰 사고 싶어.,구매
향수 이번에 꼭 사야겠다.,구매
향수 이번에 꼭 사야겠다.,구매
티비광고에나온가방탐나더라..,관심
백화점에서 귀걸이 본거 맘에듦 ㄹㅇ,관심
백화점에서 귀걸이 본거 맘에듦;;,관심
티비 광고에 나온 가방 탐나더라,관심
아 책상 램프 디자인 신기했음,관심
이불세트색감괜찮던데..,관심
이불 세트 색감 괜찮던데~,관심
헬스장에서 신발 신상 봤음;;,관심
아 백화점에서 귀걸이 본거 맘에듦,관심
티비 광고에 나온 가방 탐나더라 ㅠㅠ,관심
이불세트색감괜찮던데..,관심
그 브랜드 운동복 예쁘더라~,관심
저 노트북 화면 진짜 선명하더라;;,관심
책상 램프 디자인 신기했음 ㄹㅇ,관심
저 노트북 화면 진짜 선명하더라;;,관심
티비광고에나온가방탐나더라..,관심
아 이불 세트 색감 괜찮던데,관심
어제본자전거이쁘던데..,관심
그 브랜드 운동복 예쁘더라 ㅋㅋ,관심
책상 램프 디자인 신기했음;;,관심
백화점에서 귀걸이 본거 맘에듦~,관심
이불 세트 색감 괜찮던데~,관심
아 백화점에서 귀걸이 본거 맘에듦,관심
저 노트북 화면 진짜 선명하더라;;,관심
이불세트색감괜찮던데..,관심
어제 본 자전거 이쁘던데 ㄹㅇ,관심
헬스장에서 신발 신상 봤음;;,관심
저노트북화면진짜선명하더라..,관심
이불 세트 색감 괜찮던데;;,관심
백화점에서 귀걸이 본거 맘에듦 ㄹㅇ,관심
헬스장에서신발신상봤음..,관심
친구가 산 시계 은근 괜찮아보임 ㄹㅇ,관심
저 노트북 화면 진짜 선명하더라 ㅠㅠ,관심
헬스장에서 신발 신상 봤음 ㄹㅇ,관심
아 친구가 산 시계 은근 괜찮아보임,관심
아 저 노트북 화면 진짜 선명하더라,관심
친구가 산 시계 은근 괜찮아보임 ㅠㅠ,관심
그브랜드운동복예쁘더라..,관심
친구가 산 시계 은근 괜찮아보임 ㅠㅠ,관심
이불 세트 색감 괜찮던데 ㅋㅋ,관심
편의점 신상 음료수 봤냐 ㅋㅋ,관심
친구가 산 시계 은근 괜찮아보임 ㅠㅠ,관심
티비 광고에 나온 가방 탐나더라;;,관심
저 노트북 화면 진짜 선명하더라~,관심
이불세트색감괜찮던데..,관심
백화점에서 귀걸이 본거 맘에듦 ㅠㅠ,관심
헬스장에서신발신상봤음..,관심
친구가 산 시계 은근 괜찮아보임 ㅋㅋ,관심
친구가 산 시계 은근 괜찮아보임;;,관심
어제 본 자전거 이쁘던데,관심
아 책상 램프 디자인 신기했음,관심
이불 세트 색감 괜찮던데 ㄹㅇ,관심
편의점 신상 음료수 봤냐 ㅋㅋ,관심
책상램프디자인신기했음..,관심
어제본자전거이쁘던데..,관심
그 브랜드 운동복 예쁘더라 ㅋㅋ,관심
백화점에서귀걸이본거맘에듦..,관심
그 브랜드 운동복 예쁘더라 ㄹㅇ,관심
티비 광고에 나온 가방 탐나더라 ㅠㅠ,관심
친구가 산 시계 은근 괜찮아보임;;,관심
어제 본 자전거 이쁘던데 ㅋㅋ,관심
편의점 신상 음료수 봤냐 ㄹㅇ,관심
헬스장에서 신발 신상 봤음;;,관심
저 노트북 화면 진짜 선명하더라 ㄹㅇ,관심
이불 세트 색감 괜찮던데,관심
편의점 신상 음료수 봤냐,관심
책상 램프 디자인 신기했음,관심
백화점에서 귀걸이 본거 맘에듦,관심
저 노트북 화면 진짜 선명하더라,관심
헬스장에서 신발 신상 봤음,관심
그 브랜드 운동복 예쁘더라,관심
친구가 산 시계 은근 괜찮아보임,관심
친구가 산 시계 은근 괜찮아보임;;,관심
헬스장에서신발신상봤음..,관심
아 어제 본 자전거 이쁘던데,관심
아 티비 광고에 나온 가방 탐나더라,관심
헬스장에서신발신상봤음..,관심
아 그 브랜드 운동복 예쁘더라,관심
책상 램프 디자인 신기했음;;,관심
저노트북화면진짜선명하더라..,관심
저노트북화면진짜선명하더라..,관심
편의점 신상 음료수 봤냐 ㄹㅇ,관심
이불 세트 색감 괜찮던데 ㄹㅇ,관심
저노트북화면진짜선명하더라..,관심
어제 본 자전거 이쁘던데~,관심
이불 세트 색감 괜찮던데 ㅠㅠ,관심
그 브랜드 운동복 예쁘더라 ㅠㅠ,관심
어제 본 자전거 이쁘던데 ㅠㅠ,관심
티비 광고에 나온 가방 탐나더라~,관심
헬스장에서 신발 신상 봤음 ㅠㅠ,관심
티비 광고에 나온 가방 탐나더라;;,관심
책상 램프 디자인 신기했음~,관심
티비 광고에 나온 가방 탐나더라;;,관심
백화점에서 귀걸이 본거 맘에듦 ㄹㅇ,관심
백화점에서 귀걸이 본거 맘에듦;;,관심
친구가 산 시계 은근 괜찮아보임 ㅠㅠ,관심
헬스장에서 신발 신상 봤음;;,관심
그 브랜드 운동복 예쁘더라~,관심
티비 광고에 나온 가방 탐나더라 ㅋㅋ,관심
저 가방 디자인 마음에 들어.,관심
인스타에서 귀여운 파자마 봤어.,관심
저 시계 색감 예쁘더라.,관심
아이패드 케이스 신상 이쁘더라.,관심
전동 킥보드 좀 신기하더라.,관심
저 가방 디자인 마음에 들어.,관심
전시회 굿즈 진짜 예쁘더라.,관심
새로 나온 스마트워치 봤어?,관심
마켓에서 특이한 과일 팔던데.,관심
그 브랜드 코트 진짜 탐나더라.,관심
신상 이어폰 괜찮던데.,관심
인스타에서 귀여운 파자마 봤어.,관심
저 시계 색감 예쁘더라.,관심
아이패드 케이스 신상 이쁘더라.,관심
전동 킥보드 좀 신기하더라.,관심
저 가방 디자인 마음에 들어.,관심
전시회 굿즈 진짜 예쁘더라.,관심
새로 나온 스마트워치 봤어?,관심
마켓에서 특이한 과일 팔던데.,관심
그 브랜드 코트 진짜 탐나더라.,관심
신상 이어폰 괜찮던데.,관심
인스타에서 귀여운 파자마 봤어.,관심
그 브랜드 코트 진짜 탐나더라.,관심
마켓에서 특이한 과일 팔던데.,관심
새로 나온 스마트워치 봤어?,관심
전시회 굿즈 진짜 예쁘더라.,관심
아이패드 케이스 신상 이쁘더라.,관심
전동 킥보드 좀 신기하더라.,관심
전시회 굿즈 진짜 예쁘더라.,관심
새로 나온 스마트워치 봤어?,관심
마켓에서 특이한 과일 팔던데.,관심
그 브랜드 코트 진짜 탐나더라.,관심
신상 이어폰 괜찮던데.,관심
인스타에서 귀여운 파자마 봤어.,관심
저 시계 색감 예쁘더라.,관심
아이패드 케이스 신상 이쁘더라.,관심
저 시계 색감 예쁘더라.,관심
전동 킥보드 좀 신기하더라.,관심
전시회 굿즈 진짜 예쁘더라.,관심
새로 나온 스마트워치 봤어?,관심
마켓에서 특이한 과일 팔던데.,관심
그 브랜드 코트 진짜 탐나더라.,관심
신상 이어폰 괜찮던데.,관심
인스타에서 귀여운 파자마 봤어.,관심
저 시계 색감 예쁘더라.,관심
아이패드 케이스 신상 이쁘더라.,관심
전동 킥보드 좀 신기하더라.,관심
저 가방 디자인 마음에 들어.,관심
저 가방 디자인 마음에 들어.,관심
아이패드 케이스 신상 이쁘더라.,관심
신상 이어폰 괜찮던데.,관심
저 가방 디자인 마음에 들어.,관심
인스타에서 귀여운 파자마 봤어.,관심
저 시계 색감 예쁘더라.,관심
아이패드 케이스 신상 이쁘더라.,관심
전동 킥보드 좀 신기하더라.,관심
저 가방 디자인 마음에 들어.,관심
전시회 굿즈 진짜 예쁘더라.,관심
새로 나온 스마트워치 봤어?,관심
마켓에서 특이한 과일 팔던데.,관심
그 브랜드 코트 진짜 탐나더라.,관심
신상 이어폰 괜찮던데.,관심
신상 이어폰 괜찮던데.,관심
인스타에서 귀여운 파자마 봤어.,관심
아이패드 케이스 신상 이쁘더라.,관심
전동 킥보드 좀 신기하더라.,관심
저 가방 디자인 마음에 들어.,관심
전시회 굿즈 진짜 예쁘더라.,관심
새로 나온 스마트워치 봤어?,관심
마켓에서 특이한 과일 팔던데.,관심
그 브랜드 코트 진짜 탐나더라.,관심
신상 이어폰 괜찮던데.,관심
전동 킥보드 좀 신기하더라.,관심
저 시계 색감 예쁘더라.,관심
저 시계 색감 예쁘더라.,관심
그 브랜드 코트 진짜 탐나더라.,관심
인스타에서 귀여운 파자마 봤어.,관심
새로 나온 스마트워치 봤어?,관심
마켓에서 특이한 과일 팔던데.,관심
전시회 굿즈 진짜 예쁘더라.,관심
새로 나온 스마트워치 봤어?,관심
마켓에서 특이한 과일 팔던데.,관심
그 브랜드 코트 진짜 탐나더라.,관심
신상 이어폰 괜찮던데.,관심
인스타에서 귀여운 파자마 봤어.,관심
저 시계 색감 예쁘더라.,관심
아이패드 케이스 신상 이쁘더라.,관심
전동 킥보드 좀 신기하더라.,관심
저 가방 디자인 마음에 들어.,관심
저 노트북 화면 진짜 선명하더라;;,관심
새로 나온 스마트워치 봤어?,관심
전시회 굿즈 진짜 예쁘더라.,관심
전시회 굿즈 진짜 예쁘더라.,관심
전동 킥보드 좀 신기하더라.,관심
아이패드 케이스 신상 이쁘더라.,관심
저 가방 디자인 마음에 들어.,관심
인스타에서 귀여운 파자마 봤어.,관심
신상 이어폰 괜찮던데.,관심
그 브랜드 코트 진짜 탐나더라.,관심
마켓에서 특이한 과일 팔던데.,관심
저 시계 색감 예쁘더라.,관심
이번에 지갑 색 뭘로 하지?,고민
패딩이랑 코트 중에 뭐가 나을까?,고민
모니터 큰 걸로 살까 작은 걸로 살까?,고민
가방은 크로스로 할까 백팩으로 할까?,고민
이어폰 유선이 나을까 무선이 나을까?,고민
향수를 플로럴로 할지 우디로 할지 모르겠어.,고민
이번 달에 노트북 살까 기다릴까?,고민
흰색 운동화 살지 검정색 살지 고민돼.,고민
이번에 사고 싶은 게 너무 많아.,고민
이어폰 유선이 나을까 무선이 나을까?,고민
이번에 지갑 색 뭘로 하지?,고민
모니터 큰 걸로 살까 작은 걸로 살까?,고민
가방은 크로스로 할까 백팩으로 할까?,고민
여행 갈까 옷 살까 고민 중이야.,고민
향수를 플로럴로 할지 우디로 할지 모르겠어.,고민
이번 달에 노트북 살까 기다릴까?,고민
흰색 운동화 살지 검정색 살지 고민돼.,고민
패딩이랑 코트 중에 뭐가 나을까?,고민
이번에 사고 싶은 게 너무 많아.,고민
여행 갈까 옷 살까 고민 중이야.,고민
여행 갈까 옷 살까 고민 중이야.,고민
